pcm_Latn	sentiment
A steamy soap opera wey dey unfold against di backdrop of a cautionary history lesson wey dey remind us say for Nigeria, as more things dey change, as dem dey insane	positive
plenti amount of work and scrutiny go dey make dis plenti amount, e quality stand out easily and brazenly. Di sheer amount of authenticity dey just breathtaking	positive
My Village People na movie wey go have you lose your home trainin wen you dey watch am. But e be pathfinder of sorts. Nollywood generally neva do beta job to make di supernatural sexy and appealing. My Village People dey am effortlessly, and deserve copious amount of praise.	positive
The story no be anything wey we never see before . But from Nigerian perspective , e dey funny , quirky and the way we take dey talk about am dey plenty if we compare am with other people wey dey Nigeria market . . . I really like the film , I go recommend am ( to my Naija folks!).	positive
1980s, drug mules, beautiful black women I'm for heaven	positive
E no easy for me at all and e dey sweet me well well . . . . good thing dey happen to me because I like am and some scene dey sweet me like film wey dem make for TV ( the cheese music and the drama wey dey pass ) . . .	positive
Correction.. . . thank you for dis. I dey impressed wit it. But I Nelson Orah play di character of Ahmed, no be Umar. I go appreciate am if dem correct am	positive
She be Super Fantastic! Una wan see dis film. Dis film dey extraordinarily enjoyable Pure Nollywood sweetness	positive
I dey happy afta wey dey watch di film, evritin dey on point. I dey impressed wit di quality of di cast and crew. Di director, Kemi Adetiba do a great job and I dey proud of am. I don recommend am to plenti pipo. I dey look forward to dey watch more of her work.	positive
Genevieve Nnaji dey stamp her foot concrete for di pantheon of genuis directors. She no dey disappointed for her debut, Lion Heart. E dey must watch, as e announce di birth of an international Nollywood.	positive
Nollywood for di peak!!!! . . This film dey tell us story about culture, unity and family. Plenty topic wey I no fit finish tok	positive
Good and Wise film. Na good film, wey show di dangers of Nigerian tribalism and how e fit affect a young love.	positive
dis film na beta offerin for di genre	positive
I like dis film . . . I surprise say I read negative review for dis film. We really know which better film be dis? Dis film really good, e dey very enjoyable. Dem develop well character dem, wey dem fit believe and wey dem fit relate story line. And di quality, fantastic. Well done guys. I even like am pass wedding party 1 and 2. I no disappointed at all.	positive
See di Premieré for Houston Texas . . . . dis film suppose win Oscar. The Storyline dey so good. The Actors weré all incredible	positive
Anyone wey like art, who see part one go know di plot and storyline wey dem don build dEré and dis na follow up	positive
beta outkom	positive
Expository Movie . . . . Dis na very good and distinct film. Some pipo fit no like am bikos dem dey use am for the love or thriller story film or maybe bikos dem no dey use am live wit motor. Dem dey really show how things dey for di life of mechanics, apprentices and customer dem too. E dey teach parents and children a good lesson.	positive
The drama wey big and wey big and wey get historical flavor be like film wey get big character well well .	positive
Di writer and director dey highly intelligent and creative. Thank you so much for dis amazing film	positive
I dey enjoy to see very good parts of Lagos, both for di mainland and di island, wey dem dey use, unlike oda movies wey dey stay for one location. Lagos na beautiful place to shoot a movie, especially if dem dey use di diversity of di state, as we dey see am hia. Accident scenes dey tricky for Nollywood to portray, but e dey sweet surprise to see one wey dey veri believable here.	positive
Dey quote di film . . Perfect Movie. I love every second of di film. Wished e no end	positive
